episode index,list index,imdb id,spotify id,type,date,,
96,155,50976,7AMq3ZLsLIyiizKQmjeifK,a,05/04/22,,
97,154,2096673,1WNExqLnNlbBBr6EfeR2i7,a,12/04/22,,
98,153,434409,0tJIQ3yI19KoCEe4kZjiPo,a,19/04/22,,
99,152,46912,00wtfSiIpFP8htrvMGW3tC,a,26/04/22,,
100,151,469494,5Fy6Eil0ecpI0RZUdNDHHD,a,03/05/22,,
100.5,B20,,0N7YX3QLD6oqiGBoysou6H,b,10/05/22,,
101,150,15864,0RiCPyrQp8OlnO2j71DngN,a,17/05/22,,
102,149,71315,1YXJkzMwmy2Z9Z7YZOQkSf,a,24/05/22,,
103,148,476735,427IvJ1APcFgrUdpUTkWUo,a,31/05/22,,
104,147,5027774,12Tx84B9idsmjO4Tewgw0d,a,07/06/22,,
105,146,55031,46dCg0rPHJQ7U9mMIemjoG,a,14/06/22,,
105.5,B21,,4hlUG6Cd7QZUkBwdoePozy,b,21/06/22,,
106,145,40897,2UKuZFoQzKPYjP42EWacCZ,a,28/06/22,,
107,144,993846,2dYV8mBq9D2oArZAc8Yt0f,a,05/07/22,,
108,143,120735,4bt2zxcSJWLmG4MVOQ4wkd,a,12/07/22,,
109,142,1305806,7MdNiWVWWRJpxubZeBTI8C,a,19/07/22,,
110,141,81398,7rnUbiYECRtCX3aM9jTAJV,a,26/07/22,,
110.5,B22,,7mMWkTye2U1rHk8uWZMytC,b,02/08/22,,
111,140,457430,6ipKXGWl5YQVfGku7XSxDt,a,09/08/22,,
112,139,91251,4D1GWQALhfmIM2Bas12YxH,a,16/08/22,,
113,138,112641,4V20ZeXKY2TyeQXQFKlpb1,a,23/08/22,,
114,137,42192,2xRV0RlHMWckqbc2yVO4mf,a,30/08/22,,
115,136,268978,5knMMMHBIZzEh4wphgt03g,a,06/09/22,,
115.5,B23,,6kAn8BwDcOeJGPuEPVebz0,b,13/09/22,,
116,135,89881,2eNucfNm3QVGmWJ1dosDVt,a,20/09/22,,
117,134,96283,3gYSmBP6tUpn3aCryH8do0,a,27/09/22,,
118,133,57115,79wtvxkFlmcpqvtGUwjVxP,a,04/10/22,,
119,132,347149,0Q8E8dFIA0wjqJ3BUcSeEL,a,11/10/22,,
120,131,53291,3psfB8FJULHv78fg0ixd8m,a,18/10/22,,
120.5,B24,,5tNfXJPl6OxrPdDY9a5w46,b,25/10/22,,
121,130,1950186,0eOUxDJmMbYlbfwCd7oamb,a,01/11/22,,
122,129,118849,61AKsRASKeqH7bLZsgMCZm,a,08/11/22,,
123,128,363163,2qkeBpqobxF5uHhrF4uCeL,a,15/11/22,,
124,127,6966692,20AgCTgaL5aNOw1jM5s1tO,a,22/11/22,,
125,126,105695,5NzHDhKSxFdoBPXXN91ImP,a,29/11/22,,
125.5,B25,,4R7snagF82Z2b3aH9g3MqI,b,06/12/22,,
126,125,55630,3ZhdVRkQ5WUXNBHgM5AMRm,a,13/12/22,,
127,124,372784,3ks9hH3a0XubmrnYLaQREf,a,20/12/22,,
128,123,95016,2xPdUeDHBt9zgbmkaxaeaQ,a,27/12/22,,
128.1,C3,,7pc3SX4KZm5jPXYrgp8nqq,c,03/01/23,,
129,122,42876,5maHA3x1FKkFbSCXs5kLT8,a,10/01/23,,
130,121,113277,1sqRYU44ScHTdbDI6l0by8,a,17/01/23,,
130.5,B26,,69XWB2f3HIjM43gnVL8tl1,b,24/01/23,,
131,120,71853,09KDpKHBnHgsQboGJhRhpC,a,31/01/23,,
132,119,119488,6OSa4P3UnAcHLSwh4EGfZd,a,07/02/23,,
133,118,1255953,1tODpc0XoEUnM4vYAFobWE,a,14/02/23,,
134,117,1049413,,a,21/02/23,,
135,116,97576,1AUlr2eYrYBi9ns4mb99pZ,a,28/02/23,,
135.5,B27,,3dy7OPtg3FZ3E7X6zgmRTb,b,07/03/23,,
136,115,53604,42BwONY2rq8Fwycyw7Nv94,a,14/03/23,,
137,114,56592,,a,21/03/23,,
138,113,44741,,a,28/03/23,,
139,112,36775,,a,04/04/23,,
140,111,1832382,,a,11/04/23,,
140.5,B28,,,b,18/04/23,,
141,110,8267604,,a,25/04/23,,
142,109,59578,,a,02/05/23,,
143,108,17136,,a,09/05/23,,
144,107,70735,,a,16/05/23,,
145,106,435761,,a,23/05/23,,
145.5,B29,,,b,30/05/23,,
146,105,56172,,a,06/06/23,,
147,104,75314,,a,13/06/23,,
148,103,45152,,a,20/06/23,,
149,102,86250,,a,27/06/23,,
150,101,211915,,a,04/07/23,,
150.5,B30,,,b,11/07/23,,
151,100,40522,,a,18/07/23,,
152,99,12349,,a,25/07/23,,
153,98,208092,,a,01/08/23,,
154,97,66921,,a,08/08/23,,
155,96,53125,,a,15/08/23,,
155.5,B31,,,b,22/08/23,,
156,95,93058,,a,29/08/23,,
157,94,2106476,,a,05/09/23,,
158,93,33467,,a,12/09/23,,
159,92,338013,,a,19/09/23,,
160,91,5074352,,a,26/09/23,,
160.5,B32,,,b,03/10/23,,
161,90,52357,,a,10/10/23,,
162,89,180093,,a,17/10/23,,
163,88,62622,,a,24/10/23,,
164,87,22100,,a,31/10/23,,
165,86,119217,,a,07/11/23,,
165.5,B33,,,b,14/11/23,,
166,85,361748,,a,21/11/23,,
